p_id,agent_type,place,agent_mape
2015000856827-2825501,wrk_only,west_jordan,75.60370366189412
2015000536109-1232503,wrk_only,west_jordan,75.59113216954694
2019HU0862676-1448801,wrk_only,unknown,75.5883004531045
2015000504385-3295301,wrk_only,south_jordan,75.48364609553266
2015000332778-1229101,wrk_only,herriman,75.44319796996658
2016000937259-3559402,wrk_only,sandy,75.43143089748011
2015000606502-5240902,wrk_only,riverton,75.42438085153756
2015000548000-5332303,wrk_only,south_jordan,75.38882882435557
2015000230346-5237602,wrk_only,riverton,75.37346708662724
2015000716457-4430601,wrk_only,south_jordan,75.3656436850538
2016000020151-8903,wrk_only,west_valley_city,75.32032809553512
2019HU1105558-3488902,wrk_only,unknown,75.298345994338
2016000136275-3456601,wrk_only,south_jordan,75.26651191982691
2015000630712-3108402,wrk_only,south_jordan,75.24887496939078
2018HU0278220-2280201,wrk_only,west_jordan,75.09086649267174
2019HU0735787-1313101,wrk_only,west_jordan,74.96213456588721
2015000716457-4099601,wrk_only,south_jordan,74.95447683767867
2015000041604-4147705,wrk_only,west_valley_city,74.92780914183729
2015000254504-5359702,wrk_only,murray,74.82263185036118
2016001406021-184502,wrk_only,west_valley_city,74.70670296581444
2016000186922-5253201,wrk_only,riverton,74.61519913566107
2017000816719-35401,wrk_only,west_jordan,74.57898270288072
2015000599314-2767502,wrk_only,south_jordan,74.5549277248501
2015000284794-1502,wrk_only,west_jordan,74.43694910228112
2018HU0134832-4161002,wrk_only,south_salt_lake,74.41471879943707
2015000975217-4111002,wrk_only,south_jordan,74.39334971990286
2015000648857-3541601,wrk_only,south_jordan,74.388920270372
2016001230725-3567702,wrk_only,south_jordan,74.36363209865327
2015000982276-715601,wrk_only,riverton,74.32125237742866
2015001038344-160202,wrk_only,west_valley_city,74.29334800082873
2015000964539-4110801,wrk_only,south_jordan,74.28855345579686
2015000482256-2389801,wrk_only,south_jordan,74.2796202486153
2019HU0659132-128902,wrk_only,unknown,74.0784650740441
2019HU1372923-1456401,wrk_only,unknown,74.07812271008363
2015001242138-4323304,student__age_under05,unknown,74.07786424416874
2015001250676-1389502,wrk_only,unknown,73.83430867286319
2015000461628-3515102,wrk_only,riverton,73.787854283284
2015000288970-5326802,wrk_only,riverton,73.75696084888887
2016001305620-4591602,wrk_only,south_jordan,73.69381020395636
2017000710900-1103501,wrk_only,riverton,73.66239420882596
2015000060256-1215701,wrk_only,herriman,73.63110823202648
2017001310383-4034003,wrk_only,riverton,73.63059018888643
2015001159081-843803,wrk_only,west_valley_city,73.56525559073404
2015000230346-4390901,wrk_only,south_jordan,73.51117330024584
2016000063700-3772701,wrk_only,riverton,73.48296373051878
2015000012444-5236004,wrk_only,riverton,73.42894191677092
2015000188496-2579101,wrk__student,south_jordan,73.35878513896772
2015000377474-2952901,wrk_only,west_jordan,73.30815761718821
2015001238041-3546701,wrk_only,south_jordan,73.24039648927302
2016000021427-2865001,wrk_only,south_jordan,73.2135581496383
2015000876895-3520202,wrk__student,riverton,73.14649562781851
2015000948995-2403102,wrk_only,south_jordan,73.10517994869146
2015000085219-4376603,wrk_only,south_jordan,73.04919817965863
2015000996240-3141101,wrk__student,riverton,72.98317325125305
2015000038935-1001,wrk_only,west_valley_city,72.95041842530343
2016000514659-1397505,childcare,unknown,72.89583926454758
2019HU1306335-1446101,wrk_only,west_jordan,72.86487090468745
2015000040554-1401,wrk_only,west_valley_city,72.84367866232279
2019HU1406868-3370001,wrk_only,south_jordan,72.81223446571072
2017001258600-1238401,wrk_only,taylorsville,72.78728411308862
2015001425083-184702,wrk_only,west_jordan,72.78490591655624
2015000333352-4006401,wrk_only,riverton,72.6861090952359
2019HU0938013-3999002,wrk_only,riverton,72.66575242371998
2017000099985-2058901,wrk_only,west_jordan,72.65095150556937
2015000844279-3557301,wrk__student,taylorsville,72.63437097015529
2015001283163-1234401,wrk_only,west_jordan,72.61865883847818
2015000802478-2583902,wrk_only,kearns,72.59923399521824
2017000424387-4339604,student__age10_15,unknown,72.46786511983879
2015000677933-2543002,wrk_only,west_jordan,72.4515949289989
2017000327145-2436902,wrk__student,south_jordan,72.36945836575501
2015001325441-3848607,wrk_only,riverton,72.33617167989593
2015001242138-4323303,student__age05_09,unknown,72.33577585210928
2015001127633-3938201,wrk__student,riverton,72.25010552368532
2015000012444-2988904,wrk_only,south_jordan,72.1918043546948
2015000311427-4081402,wrk__student,south_jordan,72.18519832157632
2016000220413-5185701,wrk_only,riverton,72.16723990323705
2015000728363-4431501,wrk_only,south_jordan,72.11662701074142
2016000029436-2544302,wrk_only,riverton,72.09780223968083
2018HU0834970-199902,wrk_only,west_jordan,72.00762441141526
2016000091841-3456101,wrk_only,south_jordan,71.99804697472484
2015000033491-2989201,wrk_only,south_jordan,71.91962055667554
2015000041604-4147803,wrk_only,west_valley_city,71.89809529216468
2015000525818-2477301,wrk_only,west_jordan,71.81002733423878
2015000902560-3376002,wrk_only,riverton,71.73248105471171
2015000637209-4425501,wrk_only,south_jordan,71.70611609416154
2015000996240-715902,wrk_only,riverton,71.70221926025945
2015000518893-1552501,wrk_only,west_jordan,71.67057438128775
2015000943065-2535602,wrk_only,west_valley_city,71.6638474612963
2016000075728-3593505,wrk_only,riverton,71.64363411257943
2016000114501-3525502,wrk_only,riverton,71.63551500418605
2015001428062-2852201,wrk_only,west_valley_city,71.56550532034139
2015000968516-4447001,wrk__student,south_jordan,71.54069642888568
2015001101075-4010802,wrk_only,riverton,71.53307913032964
2017000472339-2766701,wrk_only,west_valley_city,71.50598549569497
2015000288242-6040503,wrk_only,murray,71.50175744525242
2016000234753-5256003,wrk_only,riverton,71.5016741142054
2019HU1112593-4960202,wrk_only,south_jordan,71.43375790641336
2015001012098-967804,wrk__student,south_salt_lake,71.42200889658817
