p_id,agent_type,place,agent_mape
2016000088467-1954702,wrk_only,cedar_city,26.941697481401512
2016001062350-5211404,wrk_only,vineyard,26.935268511944642
2017001340279-5281304,wrk__student,vineyard,26.934501488271085
2018HU1331375-306103,wrk__student,kaysville,26.928657614470996
2019HU0768180-4189101,wrk_only,delta,26.923165115159293
2018HU0423045-958803,wrk__student,west_bountiful,26.921326664799984
2018HU1090046-294902,wrk_only,farmington,26.91589359868734
2018HU0910797-2866602,wrk_only,saratoga_springs,26.915545738065997
2017000359008-167001,wrk_only,farmington,26.915289999037373
2019HU0719748-4254201,wrk_only,woods_cross,26.890880837249178
2018HU0434490-2767402,wrk_only,lehi,26.87987622842843
2019HU1016219-5426404,wrk__student,vineyard,26.87848568666834
2019HU0626736-5400604,wrk__student,vineyard,26.870648500752903
2019HU0383651-4224502,wrk__student,orem,26.857588069872058
2019HU1384001-739302,wrk__student,american_fork,26.84816361206653
2019HU0111851-4041003,wrk_only,west_bountiful,26.846217826711396
2019HU0768180-4186301,wrk_only,delta,26.837491769814704
2018HU1286709-4516802,wrk_only,fillmore,26.837089113121866
2017000633475-4376901,wrk_only,scipio,26.834801217925904
2018HU0726612-4020501,wrk_only,west_bountiful,26.825534082548696
2018HU1104308-4029402,wrk__student,west_bountiful,26.815173226973176
2019HU0111851-4041102,wrk_only,west_bountiful,26.808296986921853
2019HU1339729-5446401,wrk_only,vineyard,26.804436839816148
2015001216853-4322801,wrk_only,unknown,26.802225560524857
2019GQ0062016-5364201,wrk__student,vineyard,26.80161961229008
2017001340279-5281404,wrk__student,vineyard,26.781162381038502
2017000637435-943701,wrk__student,centerville,26.76804270919298
2016000469998-3785002,wrk_only,north_salt_lake,26.76677253836086
2017000359008-3969001,wrk_only,west_bountiful,26.761276858221123
2019HU1023915-5427003,wrk__student,vineyard,26.74993216852818
2016000908915-2832801,wrk__student,saratoga_springs,26.743457038720713
2019HU0828210-2881202,wrk_only,saratoga_springs,26.736484902306156
2018HU1104308-4029501,wrk_only,west_bountiful,26.708398248762
2019HU0591380-350501,wrk_only,farmington,26.70673121649696
2019HU1245366-5441601,wrk_only,vineyard,26.684390487062437
2019HU0138413-3871102,wrk_only,west_bountiful,26.62140585781032
2015000111767-3594201,wrk_only,provo,26.620542642677787
2019HU0490345-4355101,wrk_only,sutherland,26.6179350485962
2018HU0507354-4286605,wrk__student,woods_cross,26.60387237572574
2017000729294-2599302,wrk_only,west_bountiful,26.598324045056298
2019HU1404321-2889602,wrk_only,saratoga_springs,26.589169749801133
2018HU0000300-240001,wrk_only,kaysville,26.58569220733522
2017000939853-4550901,wrk_only,fillmore,26.569845794025365
2019HU1076990-986504,wrk__student,west_bountiful,26.556120814843915
2015001039276-54403,wrk__student,farmington,26.527890778657152
2018HU0991931-4027601,wrk__student,west_bountiful,26.522177776606764
2019HU1289095-390901,wrk_only,farmington,26.517405982680547
2019HU1289095-4068501,wrk_only,west_bountiful,26.508753772338295
2019HU0794419-2880101,wrk_only,saratoga_springs,26.50171247711292
2017000897247-5262702,wrk__student,vineyard,26.49549351407882
2017000317707-163801,wrk__student,farmington,26.492299226780307
2019HU1384001-1575102,wrk__student,pleasant_grove,26.487793782122942
2019HU0509031-2796801,wrk_only,lehi,26.459150429345442
2019HU0849572-4060904,wrk_only,woods_cross,26.458584338553493
2018HU0526772-5305404,wrk__student,vineyard,26.457024026622538
2018HU1269535-970603,wrk__student,west_bountiful,26.451730375718668
2018HU0986450-4025802,wrk__student,west_bountiful,26.419580902977852
2019HU0391844-2793802,wrk__student,lehi,26.41025814450379
2016000966981-3291201,wrk_only,rocky_ridge,26.403469016195512
2019HU0358961-5388901,wrk_only,vineyard,26.39033499399592
2017001079378-63903,wrk__student,riverside,26.389115727411376
2018HU1269535-970403,wrk__student,west_bountiful,26.38843303818585
2019HU0035453-328902,wrk_only,kaysville,26.374781609938786
2017001175561-3996701,wrk_only,west_bountiful,26.362693119070368
2019HU0645171-5402101,wrk__student,vineyard,26.359364445374506
2017001103875-4273102,wrk_only,hinckley,26.35904610499865
2018HU0545247-2588903,wrk__student,saratoga_springs,26.351292966549362
2017000810009-4130301,wrk_only,woods_cross,26.33653382888185
2019HU1339729-5447001,wrk_only,vineyard,26.33383105183913
2019HU1339729-5448401,wrk_only,vineyard,26.32919944878494
2017000089792-2049101,wrk_only,dugway,26.328302395899865
2018GQ0025400-5498001,wrk__student,orem,26.3252923422012
2018HU0423045-959103,wrk__student,west_bountiful,26.316111341658356
2019HU0611595-2799002,wrk_only,lehi,26.31208640884757
2016001196338-137101,wrk_only,farmington,26.311486218889613
2017000488857-3972702,wrk_only,woods_cross,26.304864305989845
2016000065878-3231401,wrk_only,eureka,26.304627527838555
2018HU1233500-2278602,wrk__student,vineyard,26.289027435006755
2019HU1152538-5438001,wrk_only,vineyard,26.28049507190344
2018HU1073885-294101,wrk_only,kaysville,26.27732177289333
2018HU1256857-301901,wrk_only,farmington,26.277005197434793
2018HU1230466-4233401,wrk_only,delta,26.276705654216986
2015000389728-4121601,wrk_only,unknown,26.275361616294585
2017001107867-1355502,wrk_only,west_bountiful,26.27379081356408
2018HU1363098-972003,wrk_only,west_bountiful,26.270662026857227
2018HU0888912-6689102,wrk_only,kaysville,26.25843237461564
2017001334992-2106001,wrk__student,north_salt_lake,26.255048437814832
2019HU1289095-4068701,wrk_only,west_bountiful,26.248943008743513
2015001039276-54003,wrk__student,farmington,26.247464613477963
2017001283840-5278302,wrk__student,vineyard,26.236048822297835
2019HU0484575-2877603,wrk_only,saratoga_springs,26.232592845237455
2018HU0888912-6489202,wrk_only,kaysville,26.231720249972778
2016000505407-4538902,wrk_only,fillmore,26.229807548349914
2019HU0111851-4041201,wrk__student,west_bountiful,26.21925704986417
2015000437602-3222702,wrk_only,eureka,26.210305743827323
2019HU0094162-125401,wrk__student,unknown,26.20199344542915
2019HU0094243-5517402,wrk_only,vineyard,26.200363741157524
2016000908915-2566501,wrk__student,lehi,26.193414388940404
2019HU1022710-1063502,wrk_only,pleasant_grove,26.190622621318226
2018HU1269923-302502,wrk_only,farmington,26.18644250262772
2018HU0497842-962103,wrk_only,west_bountiful,26.184753696210088
2018HU1269535-970503,wrk__student,west_bountiful,26.17822726374624
2017001288505-3998902,wrk_only,woods_cross,26.174696483358613
2019HU1047693-3892301,wrk_only,west_bountiful,26.169040961895924
2019HU0763012-4058304,wrk__student,woods_cross,26.16693558762974
2019HU0111851-4041203,wrk_only,west_bountiful,26.164307343815757
2016001380397-4486401,wrk_only,fillmore,26.16325841667111
2019HU0889027-2804001,wrk_only,american_fork,26.160594990208896
2019HU0737808-5406001,wrk_only,vineyard,26.15899847847401
2019HU1408862-5452001,wrk__student,vineyard,26.158907546231667
2018HU1131366-4390701,wrk_only,holden,26.15239636999992
2018HU1354051-5360601,wrk__student,vineyard,26.151745658167293
2018HU0362613-258803,wrk__student,kaysville,26.148917374236774
2019HU0008753-4178202,wrk_only,delta,26.142439921390725
2018HU0289253-4007402,wrk_only,west_bountiful,26.14111974149586
2019HU0535627-5398102,wrk__student,vineyard,26.141064499679363
2018HU0610175-4279601,wrk_only,hinckley,26.133446083455862
2019HU1171006-5439803,wrk_only,vineyard,26.132070823445503
2019HU0424396-2601102,wrk_only,saratoga_springs,26.128941685142088
2019HU1028411-2609001,wrk_only,lehi,26.10555806780307
2018HU0906066-5340101,wrk_only,vineyard,26.10132770820033
2019HU1259782-4066702,wrk_only,west_bountiful,26.09419979521422
2019HU0277385-2875401,wrk_only,saratoga_springs,26.090212112021216
2018HU1256857-302101,wrk_only,farmington,26.086048972621807
2018HU1355095-2783703,wrk__student,vineyard,26.08383457735376
2019HU1092472-5434903,wrk_only,vineyard,26.08377117766223
2019HU1384001-738102,wrk__student,american_fork,26.083596015686943
2018HU1195861-5354201,wrk_only,vineyard,26.075555646453825
2015000002097-3898801,wrk__student,west_bountiful,26.067476249280464
2019HU0145525-4043603,wrk_only,west_bountiful,26.06739101810455
2018HU0423045-264103,wrk__student,kaysville,26.060640431358777
2017001175882-5276201,wrk__student,vineyard,26.059500415516624
2016000145101-3937503,wrk_only,west_bountiful,26.057341465656382
2017000746877-3847001,wrk_only,west_bountiful,26.04747421298208
2018HU0362613-258903,wrk__student,farmington,26.037584820613752
2016000321919-920301,wrk_only,west_bountiful,26.03626014755359
2016001196338-135201,wrk_only,kaysville,26.012952470372753
2015001250733-181202,wrk_only,unknown,26.007819264552978
2017001340279-5281602,wrk__student,vineyard,25.99900245226678
2017001341404-4000201,wrk_only,woods_cross,25.99707514438638
2019HU1005413-2883901,wrk_only,saratoga_springs,25.986774058256373
2017001340279-5281603,wrk__student,vineyard,25.98434305176725
2019HU0372297-764101,wrk__student,thatcher,25.981427769218747
2019HU0283740-5383603,wrk_only,vineyard,25.97936608916515
2019HU1023915-5426803,wrk__student,vineyard,25.97670642709538
2018HU0986450-3730302,wrk__student,north_salt_lake,25.976548030107217
2019HU0356652-306001,wrk_only,milford,25.97313229616584
2018HU0289253-4148101,wrk_only,woods_cross,25.962953962487134
2018HU0289253-3704201,wrk_only,north_salt_lake,25.9618412886605
2019HU0111851-3870502,wrk_only,west_bountiful,25.960715876807107
2018HU1110653-4030001,wrk_only,west_bountiful,25.958327830641963
2018HU0407920-4011402,wrk__student,west_bountiful,25.95525730149037
2019HU1330852-5444701,wrk_only,vineyard,25.95352787315696
2019HU0812260-4060001,wrk_only,west_bountiful,25.940918613931114
2019HU0025515-3747405,wrk_only,north_salt_lake,25.937120444540827
2019HU0775819-5408201,wrk_only,vineyard,25.927211123485687
2019HU1141451-5437101,wrk_only,vineyard,25.92582105206429
2018HU1103795-297203,wrk_only,kaysville,25.921512892258473
2017000744355-3980202,wrk_only,west_bountiful,25.917847211080957
2016001277725-3619303,wrk__student,north_salt_lake,25.90224097861451
2018HU0299045-4061901,wrk_only,oak_city,25.89983790019557
2019HU0054459-5365902,wrk__student,vineyard,25.898576950476304
2019HU0367448-4048403,wrk__student,woods_cross,25.89619634082116
2019HU0158080-4520501,wrk_only,fillmore,25.893096138532574
2019HU0840067-364101,wrk_only,farmington,25.888195153911926
2019HU0768180-4188701,wrk_only,delta,25.88286619340654
2018HU0544988-1741901,wrk__student,pleasant_grove,25.882351260539366
2018HU1366954-2514501,wrk_only,orem,25.88221777986075
2019HU0439041-2626401,wrk_only,bountiful,25.87566801816459
2018HU0856313-285706,wrk_only,farmington,25.861148188981787
2019HU1289095-4068702,wrk_only,west_bountiful,25.855064106423114
2016001351922-3833603,wrk_only,west_bountiful,25.853254375771446
2019HU0763012-4169903,wrk__student,woods_cross,25.850599863195324
2017000580139-1444702,wrk__student,centerville,25.846048801818583
2016001196338-136301,wrk_only,farmington,25.836369718531373
2019HU0738480-2693601,wrk_only,lehi,25.833875164939634
2019HU0663783-3762001,wrk_only,north_salt_lake,25.8294418920684
2019HU1190197-5440804,student__lf_elig,vineyard,25.827565190916697
2019HU0717803-3881107,wrk__student,west_bountiful,25.8197031971463
2019HU1023915-5426903,wrk__student,vineyard,25.819188882907856
2018HU1399900-5363002,wrk__student,vineyard,25.819187515947306
2016000421366-921103,wrk__student,west_bountiful,25.818927445625867
2018HU0035901-5285002,wrk__student,vineyard,25.809020933994404
2019HU0441919-3713403,wrk__student,genola,25.804488942116244
2019HU1030749-5427901,wrk_only,vineyard,25.79637916029417
2019HU0726382-2602901,wrk__student,saratoga_springs,25.792357840750533
2019HU0862968-2802602,wrk_only,lehi,25.790808763196292
2019HU1126301-377302,wrk__student,farmington,25.78637313630568
2018HU0002212-4141601,wrk_only,woods_cross,25.78518400222053
2015001169431-3411401,wrk_only,tooele,25.78436691341914
2017001341404-3999902,wrk_only,west_bountiful,25.78393783568903
2019HU0365346-341503,wrk_only,farmington,25.78126311187663
2016001277725-3956703,wrk__student,woods_cross,25.779169952722935
2017000897247-5263202,wrk__student,vineyard,25.773122481639305
2019HU1289095-389501,wrk_only,kaysville,25.76571163958274
2019HU1168829-3372303,wrk__student,salt_lake_city,25.76375461774712
2019HU0595125-1112702,wrk_only,centerville,25.76088127046149
2019HU1289095-4067902,wrk_only,woods_cross,25.758281722317843
2019HU0035453-327802,wrk_only,kaysville,25.752759615713604
2019HU0289217-2286603,wrk_only,vineyard,25.7451006382983
2019HU0768180-4188301,wrk_only,delta,25.744369232755655
2017000137618-2648902,wrk__student,lehi,25.73880839651298
2019HU0608475-3173601,wrk_only,bountiful,25.737538746258657
2017000986371-5270202,wrk__student,vineyard,25.730651645739545
2019HU0748686-2693901,wrk_only,lehi,25.729221577956658
2019HU0386610-976901,wrk_only,west_bountiful,25.727465790047532
2016001062350-5211204,wrk_only,vineyard,25.722844278448004
2019HU1384001-738202,wrk__student,american_fork,25.72277955687219
2019HU0277385-2790201,wrk_only,lehi,25.721311621290937
2017000612925-178201,wrk_only,farmington,25.71498608061947
2019HU1059199-373801,wrk_only,kaysville,25.712818977118996
2019HU1065211-1859102,wrk__student,north_salt_lake,25.711786419544392
2017001340279-5281303,wrk__student,vineyard,25.708383810068096
2016001373464-1248601,wrk_only,enoch,25.707671340185378
2019HU0333967-4045302,wrk_only,woods_cross,25.698984539634846
2019HU0035453-328602,wrk_only,farmington,25.69227889034701
2019HU0421328-5390801,wrk_only,vineyard,25.681507649736858
2018HU0296892-3858303,wrk__student,west_bountiful,25.677916745381847
2018HU0018917-4145204,wrk_only,woods_cross,25.672612264454642
2019HU1016219-5425504,wrk__student,vineyard,25.667978416350977
2018GQ0025400-5567001,wrk__student,orem,25.657701741356526
2016001504845-4045902,wrk_only,leamington,25.653414848884097
2015000728902-1467301,wrk_only,unknown,25.65159588929588
2019HU1013426-2297802,wrk_only,bountiful,25.6490872018578
2017001436362-5563801,wrk__student,orem,25.648289438295503
2015000688105-2895801,wrk_only,salt_lake_city,25.645317645293975
2019HU0611595-1655402,wrk_only,saratoga_springs,25.64520690602712
2019HU0356129-2793106,wrk_only,american_fork,25.6408663109797
2018HU0986450-3729702,wrk__student,north_salt_lake,25.640077024706397
2019HU0145533-4353401,wrk_only,unknown,25.636943164221048
2019HU1016219-5426504,wrk__student,vineyard,25.632037440195383
2016001396568-419303,wrk__student,kaysville,25.631828254233728
2019HU1384001-738302,wrk__student,american_fork,25.62624829167684
2019HU0111851-331203,wrk_only,farmington,25.621311387530326
